Budget,Genre,Gross,Profit
64605282609.0,Comedy,77437971840.0,12401933708.0
70050519616.0,Adventure,79806607293.0,10754333579.0
32290776127.0,Family,42061385738.0,9725838150.0
31639125548.0,Romance,39901610065.0,8802850372.0
36929544723.0,Fantasy,45116052975.0,8739141427.0
50522907494.0,Thriller,54908859373.0,5379318545.0
70988319656.0,Action,75145540469.0,5166341649.0
14278066324.0,Mystery,18133701260.0,4017680245.0
7575189362.0,Music,11683238115.0,3901466892.0
7204105786.0,Biography,9005655093.0,1924604134.0
